5bb446afaa33d1b9fe000050,my.tccd.edu,US,Fort Worth,76111,mobile-user,2018-10-03 04:33:52
5bb42faf961baee3c900022b,uark.edu,US,Fayetteville,72701,mobile-user,2018-10-03 02:55:44
5bb368ebb1b21e9b55000258,g.clemson.edu,US,Clemson,29631,mobile-user,2018-10-02 12:47:41
5bb359de51d6f50e6d00005f,njit.edu,US,Westfield,7090,mobile-user,2018-10-02 11:43:27
5bb2f0b1927cfcc5e40001d0,tkc.edu,US,Brooklyn,11201,mobile-user,2018-10-02 04:14:42
5bb2d49c23cd53279b00012f,laverne.edu,US,Fontana,92336,mobile-user,2018-10-02 02:14:54
5bb2baceaa33d16d31000201,newschool.edu,US,The Bronx,10472,mobile-user,2018-10-02 00:24:47
5bb25cddaa33d167b200018c,student.cccd.edu,US,Chula Vista,91913,mobile-user,2018-10-01 17:43:59
5bb232389c3fe77f64000264,nau.edu,US,Winchester,22602,mobile-user,2018-10-01 14:42:01
5bb17927b1b21e7de8000578,illinois.edu,US,Darien,60561,mobile-user,2018-10-01 01:32:24
5bb16f0eb1b21e89920000c7,umass.edu,US,Pittsfield,1201,mobile-user,2018-10-01 00:49:19
5bb0d70c51d6f5a477000296,nsuok.edu,US,Cape Girardeau,63701,mobile-user,2018-09-30 14:00:45
5baf01fbaa12440aa600009e,cougars.csusm.edu,US,San Diego,92110,mobile-user,2018-09-29 04:39:25
5bae5a20b1b21efe57000192,ucsd.edu,US,Brooklyn,11205,mobile-user,2018-09-28 16:43:13
5bad601b23cd5310d300030e,unomaha.edu,US,,,mobile-user,2018-09-27 22:56:28
5bad5d7b9c3fe75dea000258,wells.edu,US,Ithaca,14850,mobile-user,2018-09-27 22:45:17
5bad1a42821b96228200002f,virginia.edu,US,Washington,20036,mobile-user,2018-09-27 17:58:28
5bacd33f7fd36ad44b000016,somaiya.edu,IN,,,mobile-user,2018-09-27 12:55:29
5baada1aaa1244f2b700032f,auburn.edu,US,Auburn,36849,mobile-user,2018-09-26 01:00:12
5baac69baa33d173f4000184,tamu.edu,US,San Antonio,78255,mobile-user,2018-09-25 23:37:00
5baa5ee57fd36aa17c0000af,mail.umw.edu,US,Fredericksburg,22405,mobile-user,2018-09-25 16:14:30
5baa4405821b964f6900016b,utexas.edu,US,Austin,78705,mobile-user,2018-09-25 14:19:50
5baa21a4927cfcf474000037,brandeis.edu,PH,Mandaluyong City,1500,mobile-user,2018-09-25 11:53:10
5ba93f8d9e8471cf5f00000d,students.fscj.edu,US,Jacksonville,32216,mobile-user,2018-09-24 19:48:30
5ba8ff87aa1244318e00015f,mail.lakelandcc.edu,US,Willoughby,44094,mobile-user,2018-09-24 15:15:21
